Statement date (UTC),Statement ID,Payment ID,Status,Currency,Type,Order/adjustment ID,SKU ID,Quantity,Product name,SKU name,Order created date,Order delivery date,Total settlement amount,Net sales,Gross sales,Gross sales refund,Seller discount,Seller discount refund,Shipping,TikTok Shop shipping fee,Fulfilled by TikTok Shop (FBT) shipping fee,FBT fulfillment fee,Customer shipping fee offset,Limited-time sign up shipping incentive,Signature confirmation service fee,Shipping insurance fee,Customer-paid shipping fee,Customer-paid shipping fee refund,TikTok Shop shipping incentive,TikTok Shop shipping incentive refund,Shipping fee subsidy,Return shipping fee,Fees,Transaction fee,Referral fee,Refund administration fee,Affiliate commission,Affiliate partner commission,Adjustment amount,Adjustment reason,Related order ID  ,,Customer payment,Customer refund,Seller co-funded voucher discount,Seller co-funded voucher discount refund,Platform discounts,Platform discounts refund,Platform co-funded voucher discounts,Platform co-funded voucher discounts refund,Ads referral fee discount,Sales tax payment,Sales tax refund,Retail delivery fee payment,Retail delivery fee refund,Customer-paid shipping fee before discounts,Seller shipping fee discount,TikTok Shop shipping fee discount to customer,Mode of TikTok Shop shipping fee discount to customer,Estimated chargeable package weight,Chargeable package weight,FBT Chargeable goods weight,Collection methods,Delivery option,Signature confirmation service fee type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/29,7407981053622667050,3459175599770997123,Pending,USD,Order,576702411090989369,1729406277132128643,1,Undated Daily Planner 8.5 x 11 with 200+ daily pages for Organization – Ensight Spiral Planner with hourly schedule for Daily Tasks & Appointments – Daily Planner Undated notebook (floral),Default,2024/08/16,/,9.39,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0,-0.6,0,0,0,0,/,/	,,10.76,0,0,0,0,0,0,0,0,-0.77,0,0,0,0,0,0,,0.95,0,/,/,/,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/28,7407921331116738347,3459175599770997123,Pending,USD,Order,576703070924214909,1729406277132128643,1,Undated Daily Planner 8.5 x 11 with 200+ daily pages for Organization – Ensight Spiral Planner with hourly schedule for Daily Tasks & Appointments – Daily Planner Undated notebook (floral),Default,2024/08/17,/,9.39,9.99,9.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0,-0.6,0,0,0,0,/,/	,,10.69,0,0,0,0,0,0,0,0,-0.7,0,0,0,0,0,0,,0.95,0,/,/,/,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
